timestamp,title,price,original_price,shipping,item_url
2025-03-22 19:09:41,Microsoft Xbox Series S,299.00,299.00,Shipping info unavailable,https://www.ebay.com/itm/266190900217?_trkparms=5373%3A5000014449%7C5374%3ATech%7C5079%3A5000014449
2025-03-22 19:09:41,Apple iPhone 15 Pro 256gb ( Unlocked) US E-Sim Version. Excellent,674.99,674.99,Shipping info unavailable,https://www.ebay.com/itm/166613095133?_trkparms=5373%3A5000014449%7C5374%3ATech%7C5079%3A5000014449
2025-03-22 19:09:41,Google Pixel 8 Pro 128GB Factory Unlocked - Excellent,434.99,434.99,Shipping info unavailable,https://www.ebay.com/itm/226348022590?_trkparms=5373%3A5000014449%7C5374%3ATech%7C5079%3A5000014449
2025-03-22 19:09:42,"Apple Macbook Air MLY33LL/A 2022 M2 - Magsafe 3 - 13.6"" 8GB/256GB SSD Excellent",650.00,650.00,Shipping info unavailable,https://www.ebay.com/itm/166206685749?_trkparms=5373%3A5000014449%7C5374%3ATech%7C5079%3A5000014449
2025-03-22 19:09:42,Samsung Galaxy S21 5G SM-G991U 128GB 256GB Unlocked Very Good Refurbished,159.95,159.95,Shipping info unavailable,https://www.ebay.com/itm/185698601733?_trkparms=5373%3A5000014449%7C5374%3ATech%7C5079%3A5000014449
2025-03-22 19:09:42,NEW UNLOCKED SAMSUNG GALAXY S20+ PLUS 5G SM-G986U 128GB BLACK GRAY GSM+CDMA,207.77,207.77,Shipping info unavailable,https://www.ebay.com/itm/194520534603?_trkparms=5373%3A5000014449%7C5374%3ATech%7C5079%3A5000014449
2025-03-22 19:09:42,"HGST Ultrastar HUH728080ALE604 (0F23668) 8TB 7200RPM SATA 6Gb/s 3.5"" Hard Drive",98.99,98.99,Shipping info unavailable,https://www.ebay.com/itm/155888794968?_trkparms=5373%3A5000014449%7C5374%3ATech%7C5079%3A5000014449
2025-03-22 19:09:42,REDTIGER 4K Dash Cam Front and Rear Dual Dash Camera WIFI&GPS With 32GB SD Card,69.99,129.99,Shipping info unavailable,https://www.ebay.com/itm/285048811560?_trkparms=5373%3A5000014449%7C5374%3ATech%7C5079%3A5000014449
2025-03-22 19:09:42,REDTIGER 4K Dual Dash Camera Front and Rear Dash Cam WIFI&GPS With 32GB SD Card,69.99,129.99,Shipping info unavailable,https://www.ebay.com/itm/285048811662?_trkparms=5373%3A5000014449%7C5374%3ATech%7C5079%3A5000014449
2025-03-22 19:09:42,"Seagate EXOS X16 ST14000NM005G 14TB 256MB 7200rpm 3.5"" SATA 6Gb/s Enterprise HDD",147.99,147.99,Shipping info unavailable,https://www.ebay.com/itm/176825170520?_trkparms=5373%3A5000014449%7C5374%3ATech%7C5079%3A5000014449
